sentence,emotion
as if i finsh work at eleven.. IS THAT EVEN ALLOWD?  cauz i really dont want to.. lol,0
"@AmandaMallard i'm not at chaseton's either  please don't die, my heart will be really sad",0
"I can't sleep, this is so darn frustrating.",0
@stormyamorette just one of those days where loneliness creeps up on you slaps you in the face.,0
RIP kelly  fucccccck,0
Not feeling too good,0
Ok. Time to nodd off its gonna be a long day tomorrow. Saying goodbye to my car for good,0
i miss oklahomaaaaa  listening to citizen cope til i pass out.,0
its funny. i'm kinda sad on my last day,0
Jenny fell asleep and didn't come over,0
Wishes you had teased me with movie night,0
@johneast I've missed one this year(!). It's the forbidden fruit. Of all the trees in the garden I munch in disappointment on that one.,0
@IvanaE i love it to.. but i knw there gna cut stuff out on tv,0
@JoannaAngel I do  But Im on a strict diet. . . ugh I feel like if i cheat for one day Ill throw everything up.,0
"So Cal Dachshund Rescue found a home for my foster pup, Max. I'm soooooo sad to see him leave",0
wow I feel like ish  and I really feel bad because those ignorent aholes wont overturn prop 8,0
"off to work now, finish about 9pm  booooo.",0
Wishes you hadn't teased me with movie night,0
"maybe i should take up drinking again, feel as if i have a ,massive hangover  still not ,yself today",0
should be sleeping.  lost my voice a couple day ago.,0
I was too sleepy earlier and i didnt get to see matt,0
I just realized I spelled &quot;adorable&quot; wrong when I tweeted @mindykaling she must hate me now,0
how to have a glowing face? my complexion is always so pale,0
"Downloadfestival's lineup isn't as good as i thought it was. There are some other awesome bands doing the festivals, but missing DL",0
oh no my tweetdeck is malfunctioning :O il have web will its fixd,0
"@ElectraX ...i'm sorry about you are still sick  u know most of them, AND i know that u will guess the &quot;pelzer present&quot; ;-)",0
@maliciousmandy1 Adam Samberg + new moon trailor = good evening. Too bad my cable is off as of friday,0
Just got my ass kicked in Tripoly lol  I got such bad cards... i suck,0
Annnnnnddd another one bites the dust,0
"on my 42nd written fuck.. i get less ideas every day, and every day",0
@hammett I wish I could have time for my xbox  project all tied,0
And trash repops.  Getting it tomorrow night I suppose.,0
feels like crap whenever she lays down. @)(1+-'$#! I hate heartburn &amp; backaches!,0
@katiefreeze I miss you!!!! It's lonely and empty without you!  http://yfrog.com/3o3zxoj,0
@lozzyx NOICE. I realised that after exams I have 2 more weeks  Forgot about the whole 2 weeks of Unit 4 in term 2 thing :/,0
Missing Everyone,0
My sisser is moving tomorrow and of makes me sad  actually I guess technically in a couple of hours since it's already Friday.,0
@wired that is so sad,0
is still sick  sigh,0
i feel really weird,0
my throat hurts  gonna go read and go to bed. text mee!,0
fjdskal im really frustrated.,0
Wondering how come mcdonalds take so long to deliver my food.,0
"@kenyaimagine ... much more injustice than we can imagine now. It will get worse before it gets better, I am afraid. No doubt here. Sorry",0
Sooo.....I'm kind of sick n tired of the bs that guys dish out  !!!!!!!!,0
"@StarOnMaineSt idk lol my head hurts. rly bad. &amp; so does my stomach... hmm... personally, i think its from all the #s ive had 2 deal wit",0
what a beautiful day - shame I've got to spend it in an office,0
Just finished watching the series return of the Chasers War on Everything - really quite crap compared to how it used to be,0
Wow just realized haven't checked Twitter since 9am when I saw my to-do list. Good news- got lot done. Bad news-don't know where day went,0
http://twitpic.com/664b7 - miss my bestfriend :'( now she left school,0
Tummy hurts,0
farewelling an employee tonight...,0
"Morning all. The water heating's packed up, so i can't have a bath. I REALLY want a bath!",0
@heavenlyriot Girls are confusing.,0
@ lyrically_Me   Why would you do that to me?!,0
Blackout in the city is never good,0
@half_a_mind Chris and I are staying in Glasgow instead cause there is absolutely no accomodation in Edinburgh due to the marathon,0
@t_isfortammy Sad tweets are sad,0
Have decided I just can't stand @GuyKawasaki's Alltop spam any longer.,0
i miss rich,0
Headache of the century coming- I can feel it  Fuck.,0
disappointed to know that I got the Silver Award. I want the GOLD award. I hate being second best.,0
home from ice cream tweet-up (my very first tweet-up!) No pics because my camera battery died last night and i forgot to charge it,0
@narain Dun wanna travel all the way there for lunch now. But yeah i have been there. Nice place. Missing Shan-e-Punjab though...,0
@xMyLifesAStoryx rob got lucky that game he beat me 209-205,0
home from school had the shitest day today,0
"@hobosexual lol.  When I went to buy my new laptop in Feb., I already knew, lol, but I looked anyway and walked away sadfaced. :/",0
Sitting by myself. Everyone took the good seats.,0
@sfannah Ahhhhh  Well at least I'm up to!,0
@DHughesy ME! oh wait wrong state,0
Sorry was that mean,0
"@rscheuer sorry, is only in spanish for the moment",0
has had the flu pass unto me by andy...went shopping and got fresh chicken for chicken soup...but no d&amp;d this sat ...is a sad panda,0
not well,0
@Miss_Rain oh what the hell  way to tell me.,0
@theblackestsea oh crap!!,0
@shaundiviney i didnt get the msg!! :'( but i bought princess,0
"I'm so unhappy being here. I hate it. It's affecting everything. My relationships with people, my personality, my attitude...",0
"There's Nothing To Do Right Now And I'm Tired But I Don't Want To Sleep. Cleaned Up Pretty Good, So Proud. At Least I'd Be A Good Janitor",0
@Madush oh my... now im offended.  ha,0
The 3d version of Up sold out   regular version it is!,0
@NickTheIntern my love!!! We still havn't done lunch together like we said we would.. I miss you my friend,0
now aches &amp; chills have joined the party. Why couldn't the cold just go away? It had to get worse?,0
bed. with stomach ache,0
lappy charger is completely dead... conserving what's left of the battery until i can afford to buy a new one,0
finally accepting the fact that all cute guys are taken,0
@HazelAngeli @V0TR0N  too bad Vo got me sick I think  &amp; I don't even have meds to feel like you.,0
Honza takes his flight back to the Czech Republic in the morning  I'm really going to miss him.,0
Matty is le tired.,0
@NellaGrl not really having a good night... missing my little girl...,0
Nite Tweeple.  Tomorrow will be day 25 at work.,0
Ahh man up and getting ready for work  I wanna sleep!!!,0
@JasmineCJones  I was just thinking the same thing! I love our morning chats! We totally need 2 live 2gether full time. Lol,0
Wish I was at sri panwa now,0
"wants to listen to musiq soulchild, but it is not on the iPod",0
i miss seeing fireflies.....,0
@Brookeleeadams hang in there- health should be priority #1 right now! i do hate seeing good people get mistreated so i'm genuinely sorry,0
Had a awesome time 2. Got2meet brandon rhyder! Unfortunatly i can't sleep n tomorrow.  back 2 the ole job. @pattymlt got my game face on!,0
@Saresa And I feel your pain.,0
2orw!!!!! Nooooooo I want to go back to Newcastle!!!!,0
"bout to watch notorious cause that's how i'm feelin now. wish i could eat something, but i can't.  surgery tomorrow. no food til saturday",0
@Jessicaveronica you guys gonna tour with Short Stack again? I missed your last tour  Me friend went and said it was mad!,0
I'm going to miss Miss Suhana,0
Why are the sinks in hospital toilets so low? Now the crotch of my grey suit is spattered with water! Just in time for Physio,0
I should go get a life. Sam just texted me 'Phuture tonight?'  http://sgBEAT.com/pic/81/,0
sad that will have to leave my beautiful apartment,0
@greco31 I've been trying not to think about that!,0
Waiting on the bus! I miss my car,0
"says I'm still dreaming about that Nikon D60..erRr!  *ate, kuya **PLEASE** lang* huhuh http://plurk.com/p/wxrx5",0
It is kind of lonely when nobody will answer their phone.,0
Rest In Peace  ADaM 12 &amp; GLeNN EPPS.... Gone but never forgotten... what a week ...Loud in da air 4 ya,0
"is having the worst week, things really do happen in threes",0
@katrinalmoreno and im an idiot for missing their last show,0
@chuybe. you left me first .. and left your bed here for me to look at,0
"Bike trail - 1, Miss J - 0, two front teeth - 1 1/2.. Hopefully! Vacations suck!",0
Sadly I am bprohibiting myself from tweeting tonight. Sorry,0
"@kesoleil Oh man, Did Yogg today. Worse than last week.",0
@anant25121986 it is so unfair that all the good rock shows happen only in B'lore and Pune,0
cant sleep again! I couldnt sleep last night eather!  *Wabble Wabble*,0
"have to stay away from home, and since this part of india dnt hav gud wireless internet, im fucked",0
Wookei why did you never accept my psn friend request,0
@davidaKaplan As do I  Leopold says hello.,0
because my dad has the tv to loud. Then i get creeped out cuz im from a dodgy neighbourhood and there was someone in my bush.,0
"cant talk very well, just remembering about something once said to me...  not a good thing fucking bully nasty pieces of work arrrrgrrrrrr",0
@tiataquito you stop it,0
just got home.. downtown was dead.. plus im kinda under the weather and i gotta get up for work tomorrow,0
"Yesterday a friend of mine was thrown off his horse as a lorry drove past us, ignoring us signaling for him to slow down",0
Ready to go into work now.  cannot be bothered.,0
"I hate working nights, cos I'm not really able to enjoy this gorgeous weather, as I will be asleep",0
i really should stop relying on my family when they say their going to get me lunch,0
"Changed my hairstyle,but it isn't good as it supposed to be N don't wealth that much money..  hate that hairdresser~~",0
@_erica I know right,0
@roshnimo yup .. sad eh .. Betty man .. it should have been betty,0
@polyap POL! Is this song from a new album? I am really missing out on UdD!,0
is tired of summer already,0
feels really sick.,0
@Trentskers Pfftt... I wish. Don't have time though.,0
"Mom asking if I'm feeling better after dargah visit. Dad swears he sees +ve &quot;change&quot;.  I am amused.   But yeah, still depressed",0
Their songs make me want to cry..,0
@AshleyGofficial aww dont cry ashley,0
My siblings left me alone.   Bored. (:|,0
In the bus... Almost an hour late because of my crappy alarm clock  should be in Leeuwarden at about 9:45,0
I wish my grandmother had taken me to the US with her,0
@noiselesssound I just heard that Regina girls song @ les deux! And I think u should/have 2 come back 2 mc! I miss u,0
"bummed i didnt get to see manchester orchestra bc it was sold out, i spent all night buying tv shows on itunes  lame",0
"Well thats me for the day, watching Panthers tonight beat the Saints (fingers crossed) cause there are no QLD teams playing this round",0
"@Krista_Watson I can't this weekend, sorry  And Steph is working.",0
just got home. im so effin sad,0
@lizz_xx cheer up lizzi there will b another foh hero concert   but still i suppose we can b upset  xoxoxo,0
"@zackintoys Sadly, it doesn't  I was so hopeful after American Doll Posse, too ... it's just so blah and vacant of dynamic.",0
@MommaSalty ...that's a miserable afterparty report,0
Not excited of blowing out another candle today... [as when I was a kid!],0
sigh....it's always so sad when you watch the series finale....no more green wing left to watch,0
Got the BrainBone daily question wrong!  - http://bit.ly/11dd2T,0
The fam back on the Big Island said the vog has been so bad that they can't see the ocean. Sad!,0
"A sunny morning in the Big K, with lawns to mow and a 2 mile to run to attempt, urgh",0
@USOuljah Ohh Emmm Geee. Souvlaki from Dimitris...I wanna go homeeee  LOL,0
Wants milk,0
@madeleinelaurin whys your cat in pain?,0
aww my poor tank friend.    his guild is fucking him over after promising him main OT. he barely even gets to go now.  ;_;,0
@franksting yeah... it is very very dry down here,0
god it pisses me off that i always enter comps &amp; never win.I am such a sore loser,0
Canï¿½t stop loosing.  Worst month results ever... Bubble two times in a row.,0
"Time for bed, oh how I wish someone was laying next to me",0
Today is going to be a normal day for I hope. We had a group of pilots from a large airline come in last night so it was too much drink,0
OMG sore shoulder,0
"@irkengir No. As a result, the salary is a decrease",0
Can I get tonight's SYTYCD online anywhere...streamed like Hulu or paid like iTunes. I missed my favorite judge and now I can't sleep.,0
"I feel sick..like don't wanna get out of bed, be bothered, don't go 2 work, turn da light off, pull da shades n tv off type of sick",0
"@yelainez  oist the 1st tym, di pa ko 18, the 2nd tym, may sakit na siya... don't blame me",0
Why don't we close the library due to the great weather?  And the ac isn't working  #fb,0
Time to do house chores! Ugh!,0
"getting ready for school.. reading what's going on on set in Montepulciano, and practically crying cause i'm not there",0
missing Taylor like crazy  cant wait till he's back,0
Had a good day till he twisted his ankle on his two mile run,0
@TerrenceJ106 yooo! Its rainin dumb hard out.,0
"Changed my hairstyle,but it isn't good as it supposed to be~~N I don't think it wealthed that much money..  hate that hairdresser~~;(",0
@J2thaESSICA yeah dnt go there.. I have 3 dif apps on my phone for it  so sad but there is a reason as to why lol,0
Um k.. this is NOT Close My Eyes.. this song always makes me cry bc my mom is gone but I &lt;3 it anyway..,0
"@SmellTheCheese I know, that is so sad.  I",0
"@dj_cm  Didn't drink enough for a hangover, just tired and over worked",0
Just awoke in a completely freaked out frantic frenzy.  It's going to be a long night.,0
where's enthusiasm in meeeee,0
"drinking some really nice coffee, got to go to the dentist at 9am this morning",0
@jessereed did u watch the day the earth stood still? did u not see my bye when u got d/c...  im sad i left 2 and now ur gone  ily&lt;333,0
#DepecheMode concert next week cancelled  Alternative date not known yet. Dave Gahan had a tumor.,0
"its 2:08 am. I CAN'T SLEEP!!!!!  i thought it was b/c im hungry, so i whipped up a pb&amp;j with milk. hopefully it works!!!!",0
Only 1 tweet in the last 24 hours?  Nobody likes my tweetboard,0
i'm so bored i can barely even tweet. i have nothing to talk about.  #boredboots,0
"my head is killing me, i keep sneezing, and i think my boyfriend fell asleep. greaaat",0
roughnight,0
Tired. About to climb into bed and fall asleep. I hope this weekend will be fun... I only have a couple of weeks left,0
"Bad day, just got worse...",0
@irkengir It is a recession,0
"@Meikah Hala, I do not know that one.  Shame on me.",0
2moro is the end of my stay @Grandmas to bad shes in NY Then off 2Ft Laud 4a weddin Florida is fun but i miss Home and Spike(car) lol,0
@godfatherobie  I'm @ work and missed everythin yesterday but don't know wot? Anybody,0
fell asleep waiting for my ride!,0
Today feels like friday. Too bad its not,0
now im gettin a complex my followers are shrinking   want to make 100 b4 Sunday,0
Has been underpaid  just when i really didn't need to be as well.,0
@Adamastorlx ohyeahhh  hate the heat!  http://twitpic.com/665a2,0
@sashaostrikoff i miss you,0
Feeling bad that @muemerry didnt get to see UP,0
Disappointment really sucks!  I'm getting used to it.,0
"Season 1 of Lie To Me was serious. Damn, now here comes the wait.",0
i mean monday take the test monday!!!! please o please !,0
@SummerXoxo That's exactly how I feel.  I hope you start feeling better soon.,0
My birthday is now over.,0
at work and tired just want to go to bed,0
@msalonen I feel like a Truck just hit me too! I also Resemble a man hit by a truck!,0
@Jazzy813 I miss my neice  can't wait to see her bad n grown ass! Lol,0
"Holy shit it's super sunny, Friday and Whitsun, my tube is deeeesearted. Wish I was in the park  http://tinyurl.com/ns2l55",0
Ugh talk to me someone  I'm really bored.,0
Sleeping on the streets of nyc for a celebrity...nothing new. Wish i had a huge blanket though,0
have a splitting headache!,0
OMG. Period cramps are FTL. So much pain.,0
@shortstackband grrrrrrrrrrrrrrrrrrrrrrrr,0
Using tiffys computer...it feels different from mine... the touch is different.,0
Bummed out I am missing a rock climbing trip next week,0
Stuck in some shitty traffic! This day is going to be crap,0
sick to my stomach.. and i have a headache.. i wish someone could come rub my temples.,0
Not a good start to the day left my money at home . So i'll hot a day me looking for free carparks,0
"@deathnerd ah man, that's sucks.  What happened to it that's prompting a reinstall?",0
@Farctum Oh poor thing  Hope it's easily sorted out. (and not too expensive!),0
@Lil_maggie you okay? i miss you @tanyadenalilove im sad you didnt text todayh,0
#3wordsaftersex it hurts now,0
Heavily medicated but can't sleep. Ugh...,0
"Grrrrr fuck. Just remembered that I'm doing the later shift today, so not at work for another hour! What a wasted lay in opportunity",0
@DontLetGo14 at home  im so lonely here...,0
"what is love!? baby don't hurt me, don't hurt me, no more. I WANT TO WATCH 'NIGHT AT THE RUXBURY' RIGHT NOW!!!!",0
Its too early,0
My computer is being killed by a combo of mirrors edge and really poor win7 thermal management...75c gpu = one sad game,0
"@Kingsrockandrol I'm a bit down zoe cos I'm off to bed soon, so I will miss this gorgeous weather, were having  what you up too today? X",0
My tummy hurts  go away cramps! I hate chuu!!!!,0
i lost my voice . what should i do ? it's very torture,0
it's pretty cold outside  today i got another exam...,0
"@Lmhustle4life Shit none. But yea last weekend was crazy, i think i partied to hard, thats why im sic.",0
@itstayloryall Im so sad we missed you at Family Reunion!!,0
"@1825remnant, i missed everyone tonight",0
Ugh our two week push to produce a six pack has produced nothing but pain!,0
ooh i feel so sleepy... its 10:24 a.m. and i dont wanna go to school 2day  but i have to...,0
@love2reed thx girl! I just now woke up! I cnt believe I'm sick!! Now I have a fever... Wish I could pound nyquil  This sucks.,0
@donald_jackson already there's none left  back to cabbage soup,0
Wrong button  ... My music biz building that is.,0
"having the flu, not the swinish-one, but the flu.",0
really annoyed that work appear to have blocked facebook now...,0
"its friday!  well, technically anyway...but its really thursday for me.  dang having to work saturday mornings",0
20 mins from BEJ to Semanggi. Traffic on Friday  *siggghh*,0
@AyeBloodyRight Taking the souls of your friends and family and watching them die is a nightmare. Trust me,0
missin my bro..,0
@DarynJones Your youtube account is down.,0
still sick  @ Home http://loopt.us/iArPRg.t,0
not feeling too great today,0
i hate that feeling you get when you listen to a song and it completely reminds you of how things used to be &amp; you get emotional,0
you ever come across something that reminds you alot of the one person that completely broke your heart? cause i just did,0
Ria got a a G1 phone and im jealous,0
my party is wiped out they be all dead and stuff,0
"@Branwen6277 I'm better today.  Yesterday was really hard.  It's still just so unbelievable.  I miss him, too... and probably always will.",0
is lonely in need of company,0
@dameenrouge I have been to Tara Thai a few times for friend's birthdays and the food I had was pretty bad.,0
hates continually getting sick whenever he has exams,0
"I want to ride my bicycle today, but it's too cold and cloudy today  http://snipurl.com/izzsn",0
stupid weather,0
Why cant a girl just like me for who i am and not whats in my walet?,0
"Good Morning, it's beautiful here today. Shame I'm going to spend most of the day being an unpaid taxi driver.",0
"@overshootTV Thx! Old computer here, too slow for both Kubuntu and Blender really.",0
Why Telstra Why do you are biggest Teleco have to be so greedy  we need fast Internet and NO Download Caps!,0
@Velf79 Missed you last night hon,0
@ab_normal Shucks!  Sorry!  Sometimes I get wrapped up in FB and forget to check  how you doin'?,0
"And apparently I misplaced my iPod, the 30 gb",0
very disappointed in him    gonna have to sleep it off....,0
4am foodshopping cause I was sick all day and was in hospitals  being alone blows,0
@heavenlykevinly You go to sleeeeeeepz,0
is seriously heartbroken!!!,0
@NellaGrl ...being lonely all the time.,0
"@drinkins I'm suffering from the Internet that works bad, only sites hosted on russian servers are available for me",0
ouch  epic bruise between my toes and a lump just under my ankle  bad times,0
Epic ocd moment? I deleted my sims file that i spent hours building just because i set his favorite food wrong,0
Heading home. Could really have done without banging my head on the way into the bus,0
also i hit my chin on something when i fell down and it hurts  ugh... work is gonna suck,0
Doing uni work all weekend. Fun times,0
